Date,Voltage L1,Power L1,Total L1,Voltage L2,Power L2,Total L2,Voltage L3,Power L3,Total L3
2021-01-30T10:57:50,220.98,28.05,165255.6,225.1,265.87,474846.8,214.3,111.03,69312.3
2021-01-30T10:57:58,221.37,28.09,165255.6,224,277.46,474846.8,214.47,110.88,69312.3
2021-01-30T10:58:09,221.26,28.1,165256,223.98,277.29,474851.4,214.77,111.01,69314.1
2021-01-30T10:58:19,222.57,28.68,165256,218.54,278.66,474851.4,215.7,110.92,69314.1
2021-01-30T10:58:29,222.19,28.51,165256,218.45,285.23,474851.4,216.39,114.42,69314.1
2021-01-30T10:58:39,222.65,28.83,165256,216.35,279.1,474851.4,220.66,110.73,69314.1
2021-01-30T10:58:50,221.66,29.34,165256,219.69,299.29,474851.4,220.83,110.3,69314.1
2021-01-30T10:58:58,221.04,29.01,165256,222.04,277.42,474851.4,220.3,110.78,69314.1
2021-01-30T10:59:09,223.17,28.8,165256.6,215.59,273.04,474855.9,220.58,108.44,69316
2021-01-30T10:59:19,223.51,28.95,165256.6,215.94,273.03,474855.9,220.79,108.34,69316
2021-01-30T10:59:39,223.06,28.81,165256.6,216.13,269.34,474855.9,218.55,108.13,69316
2021-01-30T10:59:50,220.86,29.39,165256.6,221.63,260.42,474855.9,220.16,108.02,69316
2021-01-30T10:59:58,222.12,29.18,165256.6,221.93,294.64,474855.9,217.9,108.02,69316
2021-01-30T11:00:09,223.98,3.37,165257,216.32,289.26,474860.6,218.74,108.07,69317.8
2021-01-30T11:00:19,223.72,3.73,165257,216.53,278.41,474860.6,217.94,107.39,69317.8
2021-01-30T11:00:29,223.01,3.91,165257,219.09,275.92,474860.6,217.82,111.15,69317.8
2021-01-30T11:00:39,221.55,4.27,165257,224.14,288.98,474860.6,217.13,111.8,69317.8
2021-01-30T11:00:49,221.46,4.43,165257,223.87,285.21,474860.6,219.39,114.56,69317.8
2021-01-30T11:00:58,223.11,4.85,165257,218.06,265.75,474860.6,221.88,107.35,69317.8
2021-01-30T11:01:09,222.94,3.89,165257.1,219.18,282.56,474865.3,219.86,106.84,69319.6
2021-01-30T11:01:19,223.26,4.09,165257.1,220.34,280.7,474865.3,219.55,108.2,69319.6
2021-01-30T11:01:29,221.48,4.05,165257.1,225.13,281.2,474865.3,220.65,107.33,69319.6
2021-01-30T11:01:39,221.81,3.93,165257.1,225.88,283.91,474865.3,218.83,109.26,69319.6
2021-01-30T11:01:49,221.53,3.88,165257.1,225.79,280.29,474865.3,219.27,110.05,69319.6
2021-01-30T11:01:58,223.27,3.66,165257.1,220.04,276.1,474865.3,219.41,109.65,69319.6
2021-01-30T11:02:09,223.59,3.89,165257.3,219.81,277.11,474870,219.42,109.61,69321.4
2021-01-30T11:02:21,222.91,4.02,165257.3,220.61,276.92,474870,219.55,107.54,69321.4
2021-01-30T11:02:31,221.48,4.69,165257.3,225.5,269.17,474870,219.1,113.59,69321.4
2021-01-30T11:02:41,223.53,3.83,165257.3,218.05,274.7,474870,219.53,109.2,69321.4
2021-01-30T11:02:51,224.13,3.25,165257.3,213.07,270.8,474870,220.36,110.79,69321.4
2021-01-30T11:03:00,224.23,3.3,165257.3,213.16,274.18,474870,220.72,109.99,69321.4
2021-01-30T11:03:10,223.51,3.46,165257.3,213.18,259.48,474874.6,222.46,108.57,69323.2
2021-01-30T11:03:21,223.75,3.19,165257.3,213.87,274.25,474874.6,219.85,109.87,69323.2
2021-01-30T11:03:31,222.41,3.86,165257.3,218.95,279.52,474874.6,218.73,109.72,69323.2
2021-01-30T11:03:41,223.83,3.42,165257.3,212.86,277.22,474874.6,220.51,107.95,69323.2
2021-01-30T11:03:51,222.91,3.76,165257.3,218.66,273.7,474874.6,217.51,110.82,69323.2
2021-01-30T11:03:59,224.18,3.42,165257.3,213.99,270.37,474874.6,217.73,109.07,69323.2
2021-01-30T11:04:09,224.39,3.57,165257.4,213.72,268.35,474879.1,219.66,109.76,69325.1
2021-01-30T11:04:20,224.64,3.25,165257.4,213.78,347.9,474879.1,217.46,110.48,69325.1
2021-01-30T11:04:30,224.6,3.44,165257.4,213.32,327.61,474879.1,217.42,114.19,69325.1
2021-01-30T11:04:40,223.52,3.78,165257.4,212.56,342.11,474879.1,220.19,112.9,69325.1
2021-01-30T11:04:51,222.71,4.04,165257.4,217.75,357.89,474879.1,216.69,113.94,69325.1
2021-01-30T11:04:59,222.65,4.05,165257.4,218.15,370.54,474879.1,216.48,113.72,69325.1
2021-01-30T11:05:09,222.8,4.15,165257.4,217.91,359.43,474885,216.54,112.85,69326.9
2021-01-30T11:05:20,223.41,3.12,165257.4,213.78,342.46,474885,215.2,113.68,69326.9
2021-01-30T11:05:30,223.84,3.33,165257.4,213.48,358.48,474885,215.13,113.36,69326.9
2021-01-30T11:05:40,223.46,28.21,165257.4,214.07,355.01,474885,215.26,112.91,69326.9
2021-01-30T11:05:50,223.2,28.45,165257.4,213.45,354.78,474885,217.2,113.53,69326.9
2021-01-30T11:05:59,222.08,28.82,165257.4,218.22,361.78,474885,216.6,113.26,69326.9
2021-01-30T11:06:09,223.47,28.43,165257.7,212.79,357.51,474890.9,217.36,106.93,69328.9
2021-01-30T11:06:20,222.62,28.83,165257.7,215.12,342.03,474890.9,218.89,106.66,69328.9
2021-01-30T11:06:30,222.78,28.64,165257.7,216.18,345.44,474890.9,216.62,106.84,69328.9
2021-01-30T11:06:40,224.44,28.35,165257.7,211.45,345.02,474890.9,217.99,106.58,69328.9
2021-01-30T11:06:50,223.8,28.4,165257.7,210.43,344.56,474890.9,219.61,106.97,69328.9
2021-01-30T11:06:59,223.95,28.17,165257.7,210.93,342.8,474890.9,217.45,106.88,69328.9
2021-01-30T11:07:09,224.33,28.27,165258.1,210.84,346.67,474896.8,217.38,106.68,69330.6
2021-01-30T11:07:20,219.46,28.65,165258.1,216.05,344.18,474896.8,219.53,106.61,69330.6
2021-01-30T11:07:30,220.54,27.97,165258.1,211.52,321.66,474896.8,218.45,106.41,69330.6
2021-01-30T11:07:40,219.31,28.5,165258.1,216.07,344.4,474896.8,217.87,106.56,69330.6
2021-01-30T11:07:50,219.09,28.61,165258.1,215.96,346.4,474896.8,220.05,106.7,69330.6
2021-01-30T11:07:59,220.42,28.21,165258.1,211.22,332.87,474896.8,219.22,106.73,69330.6
2021-01-30T11:08:09,220.55,27.99,165258.7,212.28,341.23,474902.5,218.88,106.22,69332.5
2021-01-30T11:08:20,220.18,28.45,165258.7,211.32,341.18,474902.5,220.73,106.1,69332.5
2021-01-30T11:08:30,220.63,28.13,165258.7,212.25,327.25,474902.5,217.69,111.39,69332.5
2021-01-30T11:08:40,219.33,28.53,165258.7,217.4,343.56,474902.5,217.38,108.84,69332.5
2021-01-30T11:08:50,220.66,28.1,165258.7,211.97,342.39,474902.5,219.24,108.55,69332.5
2021-01-30T11:08:59,219.5,27.92,165258.7,220.5,353.84,474902.5,214.18,109.82,69332.5
2021-01-30T11:09:09,219.4,28.03,165259.1,220.1,357.54,474908.2,213.76,110.43,69334.2
2021-01-30T11:09:20,220.51,28,165259.1,214.7,359.62,474908.2,216.72,110.24,69334.2
2021-01-30T11:09:30,220.47,27.67,165259.1,215.36,360.27,474908.2,214.54,109.92,69334.2
2021-01-30T11:09:40,220.41,27.63,165259.1,215.41,395.04,474908.2,214.61,110.04,69334.2
2021-01-30T11:09:50,220.58,27.82,165259.1,215.5,373.95,474908.2,214.67,116.51,69334.2
2021-01-30T11:09:59,219.27,27.78,165259.1,220.07,363.05,474908.2,214.48,109.34,69334.2
2021-01-30T11:10:10,221.2,27.86,165259.6,220.62,376.7,474914.3,213.53,109.21,69336.2
2021-01-30T11:10:20,221.34,28.25,165259.6,220.21,375.64,474914.3,213.59,110.09,69336.2
2021-01-30T11:10:30,222.72,27.99,165259.6,214.87,359.31,474914.3,214.48,112.88,69336.2
2021-01-30T11:10:40,222.46,28.39,165259.6,213.64,358.36,474914.3,219.06,111.7,69336.2
2021-01-30T11:10:51,221.88,28.5,165259.6,213.1,364.48,474914.3,221.18,110,69336.2
2021-01-30T11:10:59,222.1,28.13,165259.6,213.97,360.5,474914.3,219,109.78,69336.2
2021-01-30T11:11:09,221.02,28.32,165260,219.07,362.34,474920.4,215.98,110.39,69338
2021-01-30T11:11:20,222.72,28.55,165260,213.54,356.32,474920.4,216.78,110.07,69338
2021-01-30T11:11:30,221.47,29.08,165260,218.18,365.9,474920.4,216.72,113.47,69338
2021-01-30T11:11:40,222.78,28.87,165260,212.71,362.79,474920.4,219.25,111.8,69338
2021-01-30T11:11:50,222.88,28.42,165260,213.66,385.12,474920.4,215.19,109.39,69338
2021-01-30T11:11:59,224.47,27.53,165260,204.33,362.06,474920.4,215.89,106.94,69338
2021-01-30T11:12:09,223.78,27.77,165260.6,202.23,353.33,474926.6,222.43,113.08,69339.8
2021-01-30T11:12:19,226.18,28.18,165260.6,203.29,346.78,474926.6,219.56,112.86,69339.8
2021-01-30T11:12:30,227.01,27.75,165260.6,202.95,351.68,474926.6,218.86,113.09,69339.8
2021-01-30T11:12:40,226.64,27.59,165260.6,202.17,352.22,474926.6,221,113.27,69339.8
2021-01-30T11:12:50,225.77,27.65,165260.6,208.52,342.48,474926.6,215.14,106.39,69339.8
2021-01-30T11:12:59,227.14,27.38,165260.6,203.57,356.53,474926.6,216.05,108.2,69339.8
2021-01-30T11:13:09,226.77,27.7,165261,202.04,404.12,474932.5,220.94,113.84,69341.7
2021-01-30T11:13:20,227.16,27.73,165261,202.79,358.97,474932.5,217.77,110.24,69341.7
2021-01-30T11:13:30,225.71,27.98,165261,207.57,362.84,474932.5,216.75,109.71,69341.7
2021-01-30T11:13:40,227.66,0,165261,203.27,342.06,474932.5,215.05,109.72,69341.7
2021-01-30T11:13:50,227.91,0,165261,204.17,346.44,474932.5,213.03,109.53,69341.7
2021-01-30T11:13:59,227.8,1.51,165261,203.05,345.83,474932.5,217.41,110.21,69341.7
2021-01-30T11:14:10,227.73,0,165261.3,203.43,340.48,474938.4,215.66,109.75,69343.5
2021-01-30T11:14:20,227.43,1.7,165261.3,209.47,346.27,474938.4,210.38,110.05,69343.5
2021-01-30T11:14:30,227.26,1.78,165261.3,209,341.54,474938.4,211.95,106.49,69343.5
2021-01-30T11:14:40,227.64,1.57,165261.3,209.52,345.07,474938.4,210.88,106.26,69343.5
2021-01-30T11:14:51,228.32,1.54,165261.3,209.21,347.34,474938.4,210.7,106.44,69343.5
2021-01-30T11:14:59,227.98,0,165261.3,209.2,332.86,474938.4,211.02,106.01,69343.5
2021-01-30T11:15:09,228.17,1.67,165261.3,208.49,342.71,474944.2,213.09,106.23,69345.3
2021-01-30T11:15:20,227.79,1.54,165261.3,208.29,344.36,474944.2,212.49,106.4,69345.3
2021-01-30T11:15:30,227.84,1.58,165261.3,208.81,340.3,474944.2,212.38,106.12,69345.3
2021-01-30T11:15:40,225.6,3.02,165261.3,217.16,338.64,474944.2,211.47,106.56,69345.3
2021-01-30T11:15:50,225.55,3.12,165261.3,216.91,346.88,474944.2,211.31,106.43,69345.3
2021-01-30T11:15:59,225.74,3.03,165261.3,213.46,340.29,474944.2,214.72,105.78,69345.3
2021-01-30T11:16:09,225.94,2.92,165261.4,213.73,331.86,474949.9,214.92,106.15,69347
2021-01-30T11:16:19,225.95,3.22,165261.4,212.92,387.02,474949.9,216.93,106.48,69347
2021-01-30T11:16:30,226.4,2.9,165261.4,213.86,350.79,474949.9,214.56,106.16,69347
2021-01-30T11:16:40,226.28,2.82,165261.4,213.51,357.12,474949.9,214.66,106.5,69347
2021-01-30T11:16:50,226.09,3,165261.4,213.52,349.24,474949.9,216.6,106.57,69347
2021-01-30T11:16:59,227.16,2.61,165261.4,213.91,355.21,474949.9,214.48,105.91,69347
2021-01-30T11:17:09,227.3,2.86,165261.4,213.36,351.41,474955.8,214.4,105.99,69348.8
2021-01-30T11:17:20,227.2,2.97,165261.4,212.99,353.62,474955.8,216.46,106.12,69348.8
2021-01-30T11:17:30,226.52,2.41,165261.4,213.53,349.69,474955.8,214.57,106.56,69348.8
2021-01-30T11:17:40,227.04,2.33,165261.4,213.17,352.24,474955.8,215.04,106.69,69348.8
2021-01-30T11:17:50,226.9,2.23,165261.4,213.09,348.33,474955.8,216.77,106.55,69348.8
2021-01-30T11:17:59,227.72,1.94,165261.4,215.59,354.83,474955.8,213.67,106.36,69348.8
2021-01-30T11:18:09,227.73,2.07,165261.4,215.9,349.36,474961.7,213.88,106.3,69350.5
2021-01-30T11:18:19,227.51,2.33,165261.4,215.57,331.47,474961.7,215.14,107.55,69350.5
2021-01-30T11:18:30,226.62,1.55,165261.4,216.35,350.9,474961.7,214.17,106.14,69350.5
2021-01-30T11:18:40,226.21,0,165261.4,219.14,352.61,474961.7,211.95,106.42,69350.5
2021-01-30T11:18:50,225.92,1.63,165261.4,218.25,349.54,474961.7,213.9,76.06,69350.5
2021-01-30T11:18:59,226.26,2.21,165261.4,217.59,349.36,474961.7,216.53,67.32,69350.5
2021-01-30T11:19:09,226.04,27.69,165261.5,218.27,355.75,474967.6,214.3,67.56,69352.1
2021-01-30T11:19:19,226.21,27.86,165261.5,218.34,352.67,474967.6,214.53,68.19,69352.1
2021-01-30T11:19:30,227.01,27.43,165261.5,212.8,347.24,474967.6,216.82,67.65,69352.1
2021-01-30T11:19:40,227.31,27.24,165261.5,212.86,346.86,474967.6,215.59,68.07,69352.1
2021-01-30T11:19:50,227.43,27.23,165261.5,213.56,346.54,474967.6,215.45,67.46,69352.1
2021-01-30T11:19:59,233.24,26.71,165261.5,212.53,342.32,474967.6,215.7,67.72,69352.1
2021-01-30T11:20:09,233.7,26.66,165261.9,213.28,343.81,474973.4,213.53,68.04,69353.3
2021-01-30T11:20:20,233.78,26.82,165261.9,213.05,340.19,474973.4,213.5,68.36,69353.3
2021-01-30T11:20:30,233.55,26.72,165261.9,212.05,366.34,474973.4,215.49,67.55,69353.3
2021-01-30T11:20:40,226.58,26.61,165261.9,213.6,339.43,474973.4,215.55,67.26,69353.3
2021-01-30T11:20:50,225.84,27.06,165261.9,218.38,347.46,474973.4,214.66,67.59,69353.3
2021-01-30T11:20:59,225.49,27.32,165261.9,217.78,347.31,474973.4,216.59,67.58,69353.3
2021-01-30T11:21:09,227.52,26.91,165262.3,213.6,348,474979.1,215.59,67.26,69354.4
2021-01-30T11:21:20,227.29,27.1,165262.3,213.11,354.71,474979.1,216.24,67.61,69354.4
2021-01-30T11:21:30,226.92,26.93,165262.3,213.58,255.71,474979.1,218.07,67.28,69354.4
2021-01-30T11:21:40,227.22,26.94,165262.3,213.81,275,474979.1,215.44,67.46,69354.4
2021-01-30T11:21:50,225.86,27.41,165262.3,218.84,274.82,474979.1,215.19,67.38,69354.4
2021-01-30T11:21:59,225.56,27.56,165262.3,218.26,277.99,474979.1,217.57,67.71,69354.4
2021-01-30T11:22:09,227.03,26.94,165262.8,213.99,276.53,474984.3,215.99,67.13,69355.5
2021-01-30T11:22:19,227.13,26.92,165262.8,214.54,268.95,474984.3,216.11,67.27,69355.5
2021-01-30T11:22:30,227.52,27.35,165262.8,213.95,288.16,474984.3,218.23,67.42,69355.5
2021-01-30T11:22:40,227.03,26.93,165262.8,214.31,297.4,474984.3,215.92,67.4,69355.5
2021-01-30T11:22:50,228.27,26.53,165262.8,210.52,279.91,474984.3,216.63,67.13,69355.5
2021-01-30T11:22:59,226.93,27.57,165262.8,214.63,284.44,474984.3,217.55,69.52,69355.5
2021-01-30T11:23:09,228.59,26.77,165263.2,211.3,280.38,474988.9,213.79,105.43,69356.6
2021-01-30T11:23:19,229.03,27.36,165263.2,211.4,277.54,474988.9,213.52,106.19,69356.6
2021-01-30T11:23:29,229.36,27.82,165263.2,210.66,275.02,474988.9,215.31,106,69356.6
2021-01-30T11:23:40,229.19,27.59,165263.2,211.27,258.33,474988.9,213.35,106.01,69356.6
2021-01-30T11:23:50,228.13,27.2,165263.2,210.84,275.37,474988.9,215.35,107.02,69356.6
2021-01-30T11:23:59,226.05,28.03,165263.2,214.95,271.68,474988.9,217.23,106.42,69356.6
2021-01-30T11:24:04,225.65,28.08,165263.7,214.74,276.9,474993.6,219.41,106.45,69358.4
2021-01-30T11:24:09,225.42,27.94,165263.7,214.92,273.16,474993.6,219.68,106.39,69358.4
2021-01-30T11:24:15,227.49,27.8,165263.7,210.15,295.24,474993.6,217.72,106.46,69358.4
2021-01-30T11:24:20,227.35,28.1,165263.7,209.7,300.43,474993.6,220.17,105.93,69358.4
2021-01-30T11:24:25,227.37,27.97,165263.7,209.57,297.81,474993.6,220.01,105.89,69358.4
2021-01-30T11:24:30,226.47,27.99,165263.7,209.03,299.94,474993.6,221.87,106.44,69358.4
